_id,list_price,sizesList,on_sale,colors,desc,name
M5975,128,"[""0"",""1"",""2"",""3""]",false,"[""Black""]","Founded in 2011, HATCH is an NYC-based brand for mamas-to-be, creating stylish and timeless pieces designed for every stage of pregnancy, maternity and beyond. The only thing better than a jumpsuit is a nursing-friendly one in super-duper soft cotton. With a pretty pointelle pattern and front patch pockets for stashing a buncha stuff in, you'll never want to take it off. So go ahead: Feed in it, sleep in it, run errands in it...get crazy. The 24/7 Feeding Jumpsuit is worn here with the Everyday Nursing Bra.",HATCH® 24/7 Feeding Jumpsuit
N0180,118,"[""LARGE"",""MEDIUM"",""SMALL"",""X-LARGE""]",false,"[""Navy""]","Petite Plume was inspired by the desire to create sophisticated and comfortable sleepwear in the most exquisite cotton available. With Petite Plume, your family will be tucked in love and off to dreamland. Bonne nuit. Luxurious, supple jersey-knit pajamas that drape beautifully and continue to soften with each washing. Buttery and smooth, yet breathable, this collection is yarn-dyed to prevent fading and is destined to become a fixture of your soothing bedtime ritual.",Petite Plume™ men's classic Pima cotton pajama set
N1055,100,"[""ONE SIZE""]",false,"[""White""]","A modern twist on an antique and well-loved Union Pacific lantern. Gorgeous seeded glass and copper accents make this a unique light for a curated dinner table or at camp. High tech and functional, this lantern utilizes a battery or USB with a run time of 100+ hours on low or 3 1/2 hours on high. Adjustable-brightness LED Edison-style bulb provides a classic warming glow perfect for every occasion. Items included: one Railroad Lantern, one Li-ion Battery 2-18650, one USB cable.",Barebones railroad lantern
N1381,18,"[""ONE SIZE""]",false,"[""Multicolor""]","Melange Collection is a handmade brand that specializes in heirloom-quality holiday décor. This fun shark ornament is made in Guatemala of durable glass beads. Ornaments are made by a women's cooperative in a small village on the shores of Lake Atitlán in Guatemala. The women work in small groups to produce these designs. The glass beads are placed in a multicolored pile upon a flat surface in front of each woman, and are picked up on needles held between each one's thumb and index finger in a process so quick and precise that it seems like sleight of hand. As beads accrue, the sculpture emerges. Beaders must learn to weave or sculpt each new design separately, and to achieve the uniformity necessary, they must memorize hundreds of steps for each figure.",Melange Collection shark ornament
N4188,80,"[""X-SMALL"",""SMALL"",""1X"",""2X"",""3X""]",false,"[""White""]","Alala is building the go-to wardrobe for vibrant women with sophisticated style who are moved by life. With an elastic waistband, mesh details and a built-in ball pocket, you'll only be serving up your A game in the Court Short.",Alala® court short
N5410,28,"[""ONE SIZE""]",false,"[""Multi""]","These packs do good: For every bag this Brooklyn-based label sells, they donate another to a local child in need (aka #givebackpack). Each one is refreshingly simple and crafted from premium materials. Our pencil case with backpack-like design.",STATE Bags Clinton pencil case
N5420,24,"[""ONE SIZE""]",false,"[""Orange""]","For every bag this Brooklyn-based label sells, they donate another to a local child in need (aka #givebackpack). Each one is refreshingly simple and crafted from premium materials. Velcro® charms to add just the right amount of...charm.",STATE Bags Best Friends charms
N5425,24,"[""ONE SIZE""]",false,"[""Pink""]","For every bag this Brooklyn-based label sells, they donate another to a local child in need (aka #givebackpack). Each one is refreshingly simple and crafted from premium materials. Velcro® charms to add just the right amount of...charm.",STATE Bags Butterfly charms
N5458,75,"[""ONE SIZE""]",false,"[""Multi""]","These packs do good: For every bag this Brooklyn-based label sells, they donate another to a local child in need (aka #givebackpack). Each one is refreshingly simple and crafted from premium materials. Everything you love about our backpacks. Miniaturized.",STATE Bags Kane kids' mini backpack
N5463,80,"[""ONE SIZE""]",false,"[""Silver""]","These packs do good: For every bag this Brooklyn-based label sells, they donate another to a local child in need (aka #givebackpack). Each one is refreshingly simple and crafted from premium materials. Everything you love about our backpacks. Miniaturized.",STATE Bags Kane kids' mini backpack
N4779,25.95,"[""ONE SIZE""]",false,"[""Orange""]","Bling2o is a catalyst for unlocking the most colorful of imaginations. We create the world's most extraordinary aquatic wear, fashionable swim goggles and accessories that stand out to wear with confidence. Sun, sand and goggles in hand! Shake it Up Sandman Goggles feature a double-layered frame with free-falling, brightly colored sand. This style also features a back clip for easy adjusting. Be the king of the sandcastle this summer!",Bling2o® boys' shake it up sandman goggles
L4437,22,"[""2"",""3/4"",""7-8""]",false,"[""Gray""]","Hand-dyed in Denmark and printed by hand in Brooklyn, these knee-high socks give any outfit sweet, old-timey vibes. Handcrafted using only natural or low-impact dyes, this sweet, vintage-inspired collection of children's apparel and accessories is perfect for playing make-believe in the real world.",Boys' Wovenplay® button socks
BQ403,29.5,"[""SMALL"",""LARGE"",""X-LARGE"",""MEDIUM""]",false,"[""Navy""]",For him: comfy ankle socks in fun patterns and colors. For you: a few more days without doing laundry.,Boys' athletic ankle socks three-pack
BB161,24.5,"[""MEDIUM"",""SMALL"",""LARGE"",""X-LARGE""]",false,"[""White""]",For him: comfy socks in classic white. For you: a few more days without doing laundry.,Kids' everyday socks three-pack
BO648,24.5,"[""ONE SIZE""]",false,"[""Burnished apricot"",""Dark walnut""]",Meet the coolest shades for the hottest days. These tortoise shell aviators will keep the sun out of their eyes - and make sure they look (extra) good in the process.,Kids' tortoise shell aviator sunglasses
BO769,39.5,"[""SMALL-MEDIUM"",""LARGE-XLARGE""]",false,"[""Subtle jade""]","A seersucker bow tie that's just like Dad's is the most handsome finishing touch for spring dress-up days. We love that it's pre-tied with an easy-on, easy-off hook closure too.",Boys' seersucker bow tie
BO643,39.5,"[""K2"",""K5"",""K1"",""K11"",""K9"",""K12"",""K3"",""K13"",""K8"",""K4"",""K10""]",false,"[""Navy""]","Warm-weather adventures by the shore or the pool? These water-ready, adjustable-strap sandals are a must-have.",Boys' slide sandals with Velcro®
BF021,55,"[""K7"",""K4"",""K5"",""K6""]",false,"[""White/navy-intl""]","Reebok traces its roots back to 1895 in Lancashire, England, which is why you can spot a Union Jack in the logo for their line of classic apparel. This (mini!) retro sneaker features a smooth leather upper with a subtle green window-box logo. Based on a throwback court shoe style, these are designed for everyday wear with a molded sockliner and durable rubber outsole, just like Dad's!",Kids' Reebok® Club C sneakers
BO774,55,"[""K6"",""K7"",""K13"",""K12"",""K11"",""K4"",""K1"",""K5"",""K3"",""K2""]",false,"[""Navy/orange""]","For over three decades, Merrell has specialized in active footwear that combines peak comfort and multiterrain performance. Flexible, quick-drying and extra-cushy (thanks to a molded EVA footbed), these closed-toe sandals are practically made for summer-camp days.",Kids' Merrell® Hydro 2 sandals
BP157,89.5,"[""X-SMALL"",""X-LARGE"",""XX-SMALL"",""MEDIUM"",""SMALL"",""LARGE""]",false,"[""Bright kiwi"",""Deep navy""]","Made from lightweight, easy-to-move-in recycled nylon, this full-zip hoodie is great for warming up before the game. (Bonus points for the cool colorblocking.)",Kids' athletic full-zip hoodie
BJ194,178,"[""SMALL"",""X-SMALL""]",false,"[""Navy""]","This cool, unbulky layer is perfect for those blustery fall and winter days. (This one also features tons of supersmart details, like thumbholes in the cuffs, snap-close straps for their mittens and cozy faux-fur trim.)",Boys' fishtail parka with PrimaLoft®
BN371,59.5,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""10""]",false,"[""Caspian wash""]","This comfy pair features a drawstring elastic waist that fits perfectly - and makes getting dressed for school a breeze. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.",Boys' pull-on jean in Caspian wash
BJ560,39.5,"[""XX-SMALL"",""X-SMALL""]",false,"[""Sports club""]","More graphic tees, please! Always designed in-house and always made from comfy, machine-washable cotton, our cool, colorful graphic T-shirts let them show their personality without saying a word. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.","Kids' short-sleeve ""sports club"" graphic T-shirt"
BP395,49.5,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""10"",""12"",""14""]",false,"[""Degree stripe horizonta""]","Pj's. Jammies. Jam-jams. Sleepy suits. No matter what you call them, our supersoft and cozy pajamas feel like a dream.",Boys' short-sleeve striped sleep set
AI625,39.5,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""10"",""12"",""14"",""16""]",false,"[""Rich spruce"",""Navy"",""Heather grey"",""Courier blue""]","You asked. We listened. Their favorite pull-on sweatshorts are back - and now in a warm weather-friendly, lightweight cotton terry.",Kids' classic sweatshort in terry
BI940,69.5,"[""2""]",false,"[""Deep midnight""]","Our world-famous chinos (aka khakis) are a kid's favorites for a reason—several, actually. We make this pair in comfy cotton with a hint of stretch (so he can play all day). Our boys' relaxed fit was designed with room to move, and relaxed through the hip and thigh with a full leg. Bonus: the cozy lining for an extra layer of warmth. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.",Boys' lined relaxed-fit pull-on chino pant
BA081,55,"[""2"",""3""]",false,"[""Ollie wash""]","Brand new this season, we combined the best of our boys' skinny-fit and slim-fit pants into one easy denim style they can wear everywhere. With a hint of stretch, they're perfect for everything from dinner with Nana to running around the playground with his pals. Bonus: We gave our new boys' chinos the same updated fit.",Boys' stretch jean in medium wash
BO947,45,"[""3"",""8"",""10"",""12"",""14"",""16"",""4-5"",""6-7""]",false,"[""Hammil stripe""]","A classic shirt in traditional oxford cloth that actually gets better (and softer!) with wear. It's perfect for school, birthday parties and wherever else the day may take them. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.",Kids' oxford shirt in stripe
J5169,55,"[""2"",""3"",""8"",""10"",""12"",""14"",""16"",""4-5"",""6-7""]",false,"[""Rain blue white""]","Just like Dad's Secret Wash shirts, this button-down is supersoft thanks to our unique wash process (if we told you any more, it wouldn't be a secret!) and preshrunk for a perfect fit.",Kids' Secret Wash shirt in light-blue gingham
K9674,45,"[""2"",""3"",""8"",""10"",""12"",""14"",""16"",""6-7"",""4-5""]",false,"[""Rain blue white""]","A basic button-down that's fancy enough for dinner with Nana and cool enough for school, in spring- and summer-friendly short sleeves. Note: The stretch in this fabric comes from the way that it's woven... It's 100 percent cotton! Cotton.",Kids' short-sleeve stretch poplin button-down in gingham
BO026,39.5,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""10"",""12"",""14"",""16""]",false,"[""Galvanized grey"",""Rich spruce"",""Regal blue""]","Made from a high-tech performance fabric with sweat-wicking properties and tons of stretch, these incredibly soft shorts are perfect for the playground, the sports field and everywhere in between. Detail we love: the sporty striped trim.",Boys' mesh active short
BE543,39.5,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""10"",""12"",""14"",""16""]",false,"[""Raw cashew"",""Utility green"",""Vintage amber"",""Amalfi blue"",""Deep midnight"",""Mountain bluebird""]","New this season, our boys' relaxed fit was designed with room to move, and relaxed through the hip and thigh (you'll find the same new fit for Dad!). By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.",Boys' relaxed-fit pull-on short in chino
A8663,168,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""10"",""12"",""14"",""16""]",false,"[""Black""]","This tuxedo pant is made from the same Italian wool we use in our men's collection, so it's just as dapper as Dad's. It's finished with the traditional satin stripe down the side - a detail that everyone from Dean Martin to a certain British spy wouldn't think of leaving off - and looks just as cool with a T-shirt as it does with its coordinating jacket.",Boys' slim Ludlow tuxedo pant in Italian wool
BE676,178,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""10"",""12"",""14"",""16""]",false,"[""Whitaker stp white sky""]",New this season! This tailored jacket in spring- and summer-ready seersucker is lightweight and breathable - aka it's as comfy as it is cool.,Boys' Ludlow suit jacket in seersucker
BH827,148,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""10"",""12"",""14"",""16""]",false,"[""Khaki"",""Navy""]","This lightweight, unstructured  jacket (just like Dad's!) is as cool and comfortable as his favorite T-shirt...but a whole lot sharper. Oh, and in case you were wondering, ""garment-dyed"" just means that the style is dyed after it's sewn, resulting in perfectly imperfect color that softly fades over time.",Boys' garment-dyed cotton-linen chino suit jacket
BN993,148,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""10"",""12"",""14"",""16""]",false,"[""Cream"",""Union blue""]","A new, unstructured (read: super-relaxed!) version of one of Dad's faves, just in time for special spring occasions.",Boys' Ludlow unstructured suit jacket in linen
BO624,89.5,"[""2"",""3"",""4"",""5"",""6"",""7"",""8"",""10"",""12"",""14"",""16""]",false,"[""Union blue""]","A new, unstructured (read: super-relaxed!) version of one of Dad's faves, just in time for special spring occasions.",Boys' Ludlow unstructured suit pant in linen
AZ753,79.5,"[""X-SMALL"",""XX-SMALL"",""MEDIUM"",""LARGE"",""SMALL"",""X-LARGE""]",false,"[""Flannel grey"",""Garnet flame"",""Dark indigo""]","Made of a supersoft blend of cotton and cashmere, this throw-on-and-go layer is as cozy as a sweatshirt, but a bit more polished. (In other words, meet the new MVP of their closet.)",Kids' cotton-cashmere half-zip sweater
AZ821,49.5,"[""LARGE"",""XX-SMALL"",""SMALL"",""X-SMALL"",""MEDIUM"",""X-LARGE""]",false,"[""Ivory"",""Hthr flannel"",""Retro blue"",""Navy""]","Made of supersoft, sturdy cotton, this throw-on-and-go layer is as cozy as a sweatshirt, but a bit more polished. (In other words, meet the new MVP of their closet.)",Kids' half-zip cotton popover shirt
N2916,56,"[""1"",""2"",""3"",""5"",""7"",""9"",""11""]",false,"[""Blue multi"",""Orange multi"",""White multi""]","This boys' board short gets a new look, hitting at the perfect length for style and function. An elastic waistband and inside stretch liner add to the comfort and mobility. Boardies in sizes 9/10 and 11/12 feature a longer, slimmer leg (still above the knee!). Made to last, this children's swimwear label takes its cues from easy, breezy beachside style—think timeless pieces with a modern twist (hello, custom prints and hand-finished details).",Boys' minnow™ tricolor block boardie
N7966,56,"[""1"",""2"",""3"",""5"",""7"",""9"",""11""]",false,"[""Blue multi"",""Purple"",""Blue""]","This children's swimwear label takes its cues from easy, breezy beachside style - think timeless pieces with a modern twist (hello, custom prints and hand-finished details). One of our bestsellers! This boys' boardie hits at the perfect length for style and function. An elastic waistband and inside stretch liner add to the comfort and mobility - perfect for any activity!",Boys' minnow™ boardie
BP968,34.5,"[""X-SMALL"",""SMALL"",""XX-SMALL""]",false,"[""Skison""]","More graphic tees, please! Always designed in-house and always made from comfy, machine-washable cotton, our cool, colorful graphic T-shirts let them show their personality without saying a word. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.","Kids' long-sleeve ""'tis the ski-son"" graphic T-shirt"
BO469,36.5,"[""X-LARGE"",""MEDIUM"",""XX-SMALL"",""LARGE"",""X-SMALL"",""SMALL""]",false,"[""Cowboy""]","More graphic tees, please! Always designed in-house and always made from comfy, machine-washable cotton, our cool, colorful graphic T-shirts let them show their personality without saying a word. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.","Kids' ""cosmic cowboy"" graphic T-shirt"
BO464,36.5,"[""SMALL"",""MEDIUM"",""X-SMALL"",""X-LARGE"",""LARGE"",""XX-SMALL""]",false,"[""Greek life""]","More graphic tees, please! Always designed in-house and always made from comfy, machine-washable cotton, our cool, colorful graphic T-shirts let them show their personality without saying a word. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.","Kids' ""greek life"" graphic T-shirt"
AZ738,36.5,"[""X-SMALL"",""MEDIUM"",""XX-SMALL"",""X-LARGE"",""SMALL"",""LARGE""]",false,"[""Deep admiral""]","Pick a color, any color. This might just be the perfect long-sleeve pocket tee, so we made it in a few tried-and-true hues. Oh, and in case you were wondering, garment-dyed just means that the style is dyed after it's sewn, resulting in perfectly imperfect color that softly fades over time.",Kids' long-sleeve garment-dyed pocket T-shirt
BJ520,34.5,"[""MEDIUM"",""X-LARGE""]",false,"[""Ivory""]","A (supersoft!) striped T-shirt in slub cotton is always a solid choice. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.",Kids' long-sleeve T-shirt in navy stripe
BP163,36.5,"[""MEDIUM"",""LARGE"",""X-SMALL"",""SMALL"",""X-LARGE"",""XX-SMALL""]",false,"[""Finn stripe flame guava"",""Bright patina brilliant""]","Like his favorite tee, just slightly dressed up. This polo in our softest jersey features colorful stripes and a handy chest pocket.",Boys' polo shirt in stripe
BO480,36.5,"[""SMALL"",""X-LARGE"",""LARGE"",""X-SMALL"",""MEDIUM"",""XX-SMALL""]",false,"[""Racket stripe dahlia bl"",""Basic stripe utility iv"",""White"",""Subtle pink"",""Navy""]","Meet their most polished polo shirt. We knit this polo in a subtly textured piqué cotton so it's easy enough for recess and tennis lessons, but just dressed-up enough for dinner with Nana.",Kids' short-sleeve piqué polo shirt
AJ061,24.5,"[""MEDIUM"",""LARGE"",""X-SMALL"",""SMALL"",""XX-SMALL"",""X-LARGE""]",false,"[""White"",""Subtle pink"",""Dried papaya"",""Dusty pumpkin"",""Plaster white"",""Summer green"",""Deep admiral"",""Amalfi blue"",""Pastel blue"",""Regal blue""]","Pick a color, any color. This might just be the perfect classic T-shirt, so we made it in every hue. Oh, and in case you were wondering, ""garment-dyed"" just means that the style is dyed after it's sewn, resulting in perfectly imperfect color that softly fades over time.",Kids' garment-dyed pocket T-shirt
BO485,36.5,"[""MEDIUM"",""X-SMALL"",""X-LARGE"",""LARGE"",""XX-SMALL"",""SMALL""]",false,"[""Denali royal navy ivory""]","We love stripes of all types! Case in point: this classic, goes-with-everything cotton tee. By buying cotton products from J.Crew, you're supporting our investment in Better Cotton's mission to help cotton communities survive and thrive while protecting and restoring the environment. This product is sourced through a system of mass balance and therefore may not contain Better Cotton.",Kids' short-sleeve T-shirt in stripe
BH293,32.5,"[""X-SMALL"",""XX-SMALL""]",false,"[""Lamppost green""]","Made from a high-tech performance fabric with sweat-wicking properties and tons of stretch, this incredibly soft tank top is perfect for layering up on the playground, the sports field and everywhere in between.",Boys' contrast-collar active tank top
A3462,60,"[""K8"",""K13"",""K2"",""K9"",""K11"",""K12"",""K10""]",false,"[""Mocha""]","The German-based Birkenstock family has been making footwear for over 230 years, so they're pretty much pros at this point. These classic sandals are super-durable and crazy comfortable, thanks to shock-absorbing soles that mean kids can wear—and play in—them all day.",Kids' Birkenstock® Arizona sandals
BR617,16,"[""K9"",""K13-1"",""K3-4"",""K2"",""K11-12"",""K10""]",false,"[""Marine blue""]",The pair that's been the flip-flop of choice for beachgoers big and small since 1962.,Kids' Havaianas® top flip-flops
BE681,55,"[""K3"",""K2"",""K13"",""K4"",""K12"",""K11"",""K5"",""K8"",""K10"",""K1"",""K9""]",false,"[""Sea skyline""]",Warm-weather adventures by the shore or the pool? These water-ready sporty-strap sandals are a must-have.,Kids' sporty-strap sandals in colorblock
BO419,65,"[""K13"",""K3"",""K12"",""K1"",""K11"",""K2""]",false,"[""Bright lapis""]","New Balance started making shoes in the U.S. over 75 years ago, and they're now famous for kicks that combine fashion and function. Because everyone loves a good throwback, this '70s-inspired pair comes in a mini version just for him.",Boys' New Balance® 237 sneakers
N5364,42,"[""ONE SIZE""]",false,"[""Pink tie dye"",""Pink multi"",""Rainbow multi"",""Navy""]","Ame & Lulu is a lifestyle brand that embraces all things active. Established in 2003 in Brookline, Massachusetts, Ame & Lulu designs and manufactures stylish-yet-functional accessories for tennis, golf and everyday life. Keep your food and drinks stored stylishly on the court. Complete with a man-made liner and a mesh pocket for an ice pack, our newest tennis accessory is a must-have.",Ame & Lulu girls' lunch box
N3647,98,"[""ONE SIZE""]",false,"[""White""]","Ame & Lulu is a lifestyle brand that embraces all things active. Established in 2003 in Brookline, Massachusetts, Ame & Lulu designs and manufactures stylish-yet-functional accessories for tennis, golf and everyday life. For the tennis stars ages 8-12, the Jr. Love Tennis Backpack is a must-have. With multiple interior pockets and an exterior racquet-shaped pocket, it is easy to stay organized and stylish on the court.",Ame & Lulu girls' jr. love tennis backpack
N0909,94,"[""ONE SIZE""]",false,"[""Light purple"",""Light green"",""Purple multi"",""Light pink"",""Pink multi"",""Blue multi"",""Multi"",""Navy multi"",""Rainbow multi"",""Light blue"",""Dark navy""]","Ame & Lulu is a lifestyle brand that embraces all things active. Established in 2003 in Brookline, Massachusetts, Ame & Lulu designs and manufactures stylish-yet-functional accessories for tennis, golf and everyday life. For your mini-me tennis star, the Little Love Tennis Backpack has all bases covered for tennis lessons or camp. With an exterior pocket for a tennis racquet and an interior name tag, this bag is sure to be a hit on and off the court.",Ame & Lulu girls' little love tennis backpack
BP453,49.5,"[""ONE SIZE""]",false,"[""Rainbow""]","For everyday and special days, this beaded flower bag will add a touch of fun to all her spring outfits.",Girls' beaded crossbody purse
N5431,48,"[""ONE SIZE""]",false,"[""Multi""]","These packs do good: For every bag this Brooklyn-based label sells, they donate another to a local child in need (aka #givebackpack). Each one is refreshingly simple and crafted from premium materials.",STATE Bags Rodgers lunch box
N5415,24,"[""ONE SIZE""]",false,"[""Green""]","For every bag this Brooklyn-based label sells, they donate another to a local child in need (aka #givebackpack). Each one is refreshingly simple and crafted from premium materials. Velcro® charms to add just the right amount of...charm.",STATE Bags T.rex charms
AW588,24.5,"[""MEDIUM""]",false,"[""Pink blue multi""]","In response to the CDC recommendation that people wear cloth face coverings in public, we made nonmedical, reusable masks (in sets of three) from our signature fabrics, with a subtle ruffle trim. With a contoured design for a better fit, each mask is double-layered and has elastic ear loops, as well as an opening for a removable filter (not included). Together, J.Crew and Madewell have also made a donation to supply 75,000 single-use masks to Montefiore Health System hospitals in New York. If you're looking for another way to help the communities most impacted by the crisis, we're proud to support the DonorsChoose Keep Kids Learning program, which provides books, basic supplies and more learning materials to teachers serving high-need communities and their students at home. Learn more at donorschoose.org/coronavirus.",Kids' pack-of-three knit nonmedical face masks
N1376,22,"[""ONE SIZE""]",false,"[""Bronze""]","Melange Collection is a handmade brand that specializes in heirloom-quality holiday décor. This fun octopus ornament is made in Guatemala of durable glass beads. Ornaments are made by a women's cooperative in a small village on the shores of Lake Atitlán in Guatemala. The women work in small groups to produce these designs. The glass beads are placed in a multicolored pile upon a flat surface in front of each woman, and are picked up on needles held between each one's thumb and index finger in a process so quick and precise that it seems like sleight of hand. As beads accrue, the sculpture emerges. Beaders must learn to weave or sculpt each new design separately, and to achieve the uniformity necessary, they must memorize hundreds of steps for each figure.",Melange Collection octopus ornament
BU052,24,"[""ONE SIZE""]",false,"[""Valentine""]","Stationery and party-supply label Meri Meri was started by Meredithe Stuart-Smith at her kitchen table with some paper, a pair of scissors and a whole lot of glitter - something we can relate to. The best of both worlds, these Valentine's Day cards come with glasses that double as a cool accessory.",Meri Meri™ Valentine's cards with glasses
BK201,39.5,"[""SMALL-MEDIUM""]",false,"[""Rainbow"",""Pale seascape""]","For recess, leaf peeping and any other brisk outdoor adventures, this multicolored beanie is her new best friend.",Girls' marled beanie
